customer_id,last_order_date,total_orders,total_revenue,recency_days,R_Score,F_Score,M_Score,RFM_Score,Segment
2606,2024-10-05 15:24:00,14,430343.02,87,3,5,5,13,Champions
2951,2024-05-06 01:34:00,14,429872.13,239,1,5,5,11,Potential Loyalists
5769,2024-12-11 16:18:00,12,428444.74,20,5,5,5,15,Champions
1170,2024-08-15 08:11:00,15,427310.92,138,2,5,5,12,Potential Loyalists
1677,2024-07-24 09:53:00,19,427190.68,160,2,5,5,12,Potential Loyalists
1330,2024-10-31 20:37:00,15,426259.67,61,4,5,5,14,Champions
7224,2024-12-21 15:03:00,10,425447.13,10,5,4,5,14,Champions
4080,2024-12-13 08:11:00,13,425291.73,18,5,5,5,15,Champions
653,2024-11-15 07:21:00,12,424648.08,46,4,5,5,14,Champions
6974,2024-11-17 03:04:00,11,424521.87,44,4,5,5,14,Champions
3561,2024-09-23 09:53:00,15,424437.16,99,3,5,5,13,Champions
6329,2024-12-02 22:30:00,13,424144.66000000003,29,5,5,5,15,Champions
726,2024-11-14 19:01:00,12,423762.39,47,4,5,5,14,Champions
1525,2024-09-08 05:26:00,12,423234.55,114,3,5,5,13,Champions
2534,2024-12-02 09:39:00,10,422892.93,29,5,4,5,14,Champions
3328,2024-11-24 09:49:00,12,422108.12,37,4,5,5,14,Champions
544,2024-11-15 00:05:00,13,420764.89,46,4,5,5,14,Champions
1175,2024-12-07 10:15:00,13,420372.15,24,5,5,5,15,Champions
5960,2024-11-14 15:13:00,10,417892.23,47,4,4,5,13,Champions
3227,2024-12-29 02:22:00,11,417710.97000000003,2,5,5,5,15,Champions
5758,2024-09-30 03:32:00,9,417291.1,92,3,4,5,12,Potential Loyalists
5695,2024-10-21 13:36:00,11,417039.48,71,4,5,5,14,Champions
2693,2024-08-04 21:37:00,11,416777.57,149,2,5,5,12,Potential Loyalists
3097,2024-11-25 15:19:00,17,416678.11,36,4,5,5,14,Champions
3152,2024-10-13 14:32:00,9,416597.6,79,3,4,5,12,Potential Loyalists
1707,2024-11-24 22:38:00,11,415029.46,37,4,5,5,14,Champions
1843,2023-12-01 22:26:00,10,414785.89999999997,396,1,4,5,10,Potential Loyalists
3027,2024-06-16 09:07:00,14,414368.32999999996,198,2,5,5,12,Potential Loyalists
2838,2024-11-21 09:56:00,23,414206.41,40,4,5,5,14,Champions
3869,2024-12-06 13:46:00,11,411253.38,25,5,5,5,15,Champions
2912,2024-11-24 19:27:00,15,411191.16,37,4,5,5,14,Champions
3771,2024-08-30 15:32:00,12,410517.52,123,3,5,5,13,Champions
6175,2024-07-22 05:23:00,13,410124.69,162,2,5,5,12,Potential Loyalists
5786,2024-11-22 05:53:00,17,410009.59,39,4,5,5,14,Champions
179,2024-10-06 03:27:00,12,409690.2,86,3,5,5,13,Champions
7191,2024-11-15 18:04:00,10,409581.58,46,4,4,5,13,Champions
6627,2024-11-01 03:45:00,14,408726.09,60,4,5,5,14,Champions
7438,2024-04-30 00:56:00,11,408384.52,245,1,5,5,11,Potential Loyalists
4829,2024-11-24 08:04:00,14,408368.49,37,4,5,5,14,Champions
7851,2024-12-19 13:26:00,12,407357.99,12,5,5,5,15,Champions
7606,2024-10-15 04:38:00,10,406111.34,77,3,4,5,12,Potential Loyalists
3698,2024-08-24 02:16:00,12,405995.51,129,3,5,5,13,Champions
7808,2024-12-24 05:06:00,8,405792.0,7,5,3,5,13,Champions
1927,2024-08-20 19:22:00,14,405465.81,133,2,5,5,12,Potential Loyalists
640,2024-08-22 02:09:00,11,404327.0,131,3,5,5,13,Champions
6968,2024-10-18 08:26:00,11,404013.86,74,4,5,5,14,Champions
394,2024-09-17 21:59:00,13,403971.6,105,3,5,5,13,Champions
4930,2024-09-13 22:51:00,9,403133.12,109,3,4,5,12,Potential Loyalists
7425,2024-10-20 15:55:00,16,402529.62,72,4,5,5,14,Champions
5023,2024-12-08 18:06:00,11,400860.89,23,5,5,5,15,Champions
1850,2024-08-31 01:51:00,9,399911.62,122,3,4,5,12,Potential Loyalists
5899,2024-09-30 12:03:00,9,399397.74,92,3,4,5,12,Potential Loyalists
5676,2024-12-22 17:35:00,10,396434.05000000005,9,5,4,5,14,Champions
415,2024-12-08 17:11:00,13,396268.24,23,5,5,5,15,Champions
6921,2024-10-11 11:45:00,13,396038.91,81,3,5,5,13,Champions
292,2024-12-02 06:02:00,13,396008.0,29,5,5,5,15,Champions
7203,2024-10-31 15:21:00,9,395805.06,61,4,4,5,13,Champions
4563,2024-11-15 13:06:00,11,395595.58999999997,46,4,5,5,14,Champions
2736,2024-11-19 19:23:00,16,395525.31,42,4,5,5,14,Champions
1657,2024-11-27 06:15:00,9,395381.68,34,4,4,5,13,Champions
5970,2024-08-19 16:24:00,11,394282.04,134,2,5,5,12,Potential Loyalists
7194,2024-09-26 23:38:00,15,394075.42,95,3,5,5,13,Champions
2111,2024-08-22 15:13:00,8,393979.33999999997,131,3,3,5,11,Potential Loyalists
6442,2024-12-01 16:48:00,12,393689.58,30,5,5,5,15,Champions
4662,2024-10-22 06:39:00,12,393581.77,70,4,5,5,14,Champions
4003,2024-08-26 16:47:00,10,393319.55,127,3,4,5,12,Potential Loyalists
6220,2024-12-26 01:53:00,7,393087.64,5,5,2,5,12,Loyal Customers
710,2024-11-03 17:57:00,13,392763.98,58,4,5,5,14,Champions
578,2024-11-04 05:09:00,13,392659.78,57,4,5,5,14,Champions
1424,2024-08-27 23:55:00,17,392609.17,125,3,5,5,13,Champions
4954,2024-12-11 04:56:00,15,392324.03,20,5,5,5,15,Champions
191,2024-01-14 23:30:00,10,391994.01,352,1,4,5,10,Potential Loyalists
4925,2024-11-25 07:49:00,10,391883.3,36,4,4,5,13,Champions
3878,2024-11-12 12:30:00,8,391812.21,49,4,3,5,12,Loyal Customers
6584,2024-05-26 11:49:00,7,390988.21,219,2,2,5,9,At Risk
2602,2024-12-21 03:24:00,11,389042.68,10,5,5,5,15,Champions
4612,2024-12-22 16:03:00,16,388760.77,9,5,5,5,15,Champions
652,2024-12-29 02:52:00,15,388475.58,2,5,5,5,15,Champions
7318,2024-12-21 18:06:00,10,387637.55,10,5,4,5,14,Champions
3445,2024-11-19 17:13:00,15,387085.6,42,4,5,5,14,Champions
3204,2024-09-17 06:48:00,13,386925.04,105,3,5,5,13,Champions
5800,2024-04-15 14:19:00,12,386560.69,260,1,5,5,11,Potential Loyalists
1993,2024-11-03 09:15:00,9,386526.05,58,4,4,5,13,Champions
5686,2024-09-23 02:47:00,12,386471.22,99,3,5,5,13,Champions
6262,2024-11-28 02:21:00,13,386196.32,33,4,5,5,14,Champions
4913,2024-09-14 17:20:00,14,386091.68,108,3,5,5,13,Champions
1126,2024-11-24 21:34:00,10,386071.45,37,4,4,5,13,Champions
4472,2024-04-23 17:54:00,11,385641.98,252,1,5,5,11,Potential Loyalists
1161,2024-06-11 15:53:00,11,385352.64,203,2,5,5,12,Potential Loyalists
5191,2024-12-07 19:23:00,17,385106.72000000003,24,5,5,5,15,Champions
6198,2024-05-25 18:04:00,10,384666.36,220,2,4,5,11,Potential Loyalists
356,2024-12-19 20:20:00,12,384593.17,12,5,5,5,15,Champions
6274,2024-12-30 15:34:00,10,384531.43,1,5,4,5,14,Champions
7547,2024-11-21 18:31:00,13,383993.23,40,4,5,5,14,Champions
3960,2024-10-10 15:17:00,14,383788.54000000004,82,3,5,5,13,Champions
6141,2024-12-25 05:17:00,12,382596.63,6,5,5,5,15,Champions
4355,2024-11-20 17:54:00,18,381898.48,41,4,5,5,14,Champions
118,2024-12-12 14:15:00,13,380960.88999999996,19,5,5,5,15,Champions
1901,2024-11-15 23:49:00,11,380960.88,45,4,5,5,14,Champions
6633,2024-09-28 23:19:00,9,380826.28,94,3,4,5,12,Potential Loyalists
1264,2024-11-25 13:02:00,9,380622.28,36,4,4,5,13,Champions
5630,2024-07-03 20:22:00,10,380224.9,181,2,4,5,11,Potential Loyalists
4530,2024-09-25 06:06:00,13,379997.41000000003,97,3,5,5,13,Champions
3872,2024-12-06 05:56:00,12,379490.98,25,5,5,5,15,Champions
5137,2024-11-02 14:38:00,9,379434.92000000004,59,4,4,5,13,Champions
5784,2024-12-13 21:28:00,12,379019.35,18,5,5,5,15,Champions
4864,2024-09-26 13:58:00,12,378875.03,96,3,5,5,13,Champions
5708,2024-11-21 14:40:00,12,378806.8,40,4,5,5,14,Champions
3512,2024-12-05 16:23:00,15,378156.62,26,5,5,5,15,Champions
5657,2024-11-30 20:12:00,13,377566.25,31,5,5,5,15,Champions
6219,2024-11-06 08:10:00,14,377495.0,55,4,5,5,14,Champions
2425,2024-07-13 21:02:00,11,376836.56,171,2,5,5,12,Potential Loyalists
4108,2024-12-14 03:30:00,10,376828.31,17,5,4,5,14,Champions
4168,2024-08-03 17:44:00,13,376772.11,150,2,5,5,12,Potential Loyalists
1064,2024-11-19 19:45:00,11,376618.68,42,4,5,5,14,Champions
184,2024-10-06 10:14:00,11,375668.29,86,3,5,5,13,Champions
5465,2024-11-23 08:18:00,11,375311.23,38,4,5,5,14,Champions
4584,2024-12-02 00:28:00,10,375203.72,29,5,4,5,14,Champions
7587,2024-12-31 21:51:00,15,374509.17,0,5,5,5,15,Champions
3584,2024-12-15 23:00:00,10,374195.44,16,5,4,5,14,Champions
7336,2024-11-29 06:00:00,14,374190.36,32,4,5,5,14,Champions
6009,2023-12-31 20:01:00,8,374125.2,366,1,3,5,9,At Risk
1591,2024-11-25 18:08:00,14,374042.91,36,4,5,5,14,Champions
6078,2024-08-21 03:19:00,10,374038.87,132,3,4,5,12,Potential Loyalists
4508,2024-12-01 09:43:00,8,373960.99,30,5,3,5,13,Champions
188,2024-11-17 16:04:00,12,373830.08,44,4,5,5,14,Champions
6113,2024-11-21 21:33:00,13,373629.01,40,4,5,5,14,Champions
3862,2024-11-24 23:41:00,14,373596.56,36,4,5,5,14,Champions
5116,2024-08-26 14:46:00,11,373475.96,127,3,5,5,13,Champions
4309,2024-11-24 14:37:00,15,373345.54,37,4,5,5,14,Champions
7657,2024-10-23 07:55:00,10,373272.68,69,4,4,5,13,Champions
7810,2024-08-26 12:19:00,14,372926.56,127,3,5,5,13,Champions
4663,2024-12-18 01:58:00,12,372386.67,13,5,5,5,15,Champions
2434,2024-10-07 23:33:00,13,371961.66000000003,85,3,5,5,13,Champions
422,2024-08-20 10:39:00,13,371548.7,133,2,5,5,12,Potential Loyalists
6288,2024-02-03 01:39:00,13,371351.71,332,1,5,5,11,Potential Loyalists
4621,2024-11-01 19:50:00,8,370872.53,60,4,3,5,12,Loyal Customers
3739,2024-08-30 09:16:00,16,369505.95999999996,123,3,5,5,13,Champions
3586,2024-07-08 12:53:00,10,369361.31,176,2,4,5,11,Potential Loyalists
1189,2024-05-11 01:40:00,8,368855.86,234,2,3,5,10,Potential Loyalists
6157,2024-09-01 22:44:00,12,368532.02,121,3,5,5,13,Champions
2075,2024-07-06 08:40:00,9,367761.16000000003,178,2,4,5,11,Potential Loyalists
2686,2024-11-22 01:19:00,14,367361.0,39,4,5,5,14,Champions
6964,2024-12-22 01:01:00,9,367354.5,9,5,4,5,14,Champions
6825,2024-09-07 07:04:00,11,366996.87,115,3,5,5,13,Champions
3855,2024-11-28 20:28:00,13,366819.57,33,4,5,5,14,Champions
6583,2024-04-15 22:56:00,15,366799.32,260,1,5,5,11,Potential Loyalists
6275,2024-03-09 00:13:00,12,366589.0,297,1,5,5,11,Potential Loyalists
6369,2024-12-27 17:43:00,10,366373.95,4,5,4,5,14,Champions
6965,2024-03-05 18:39:00,8,366312.94,301,1,3,5,9,At Risk
7221,2024-08-06 03:20:00,8,365600.29,147,2,3,5,10,Potential Loyalists
4112,2024-12-03 13:03:00,8,364715.48,28,5,3,5,13,Champions
3635,2024-12-16 05:44:00,11,364560.44,15,5,5,5,15,Champions
6142,2024-07-10 11:11:00,12,364426.21,174,2,5,5,12,Potential Loyalists
1564,2024-11-09 02:39:00,8,364121.19,52,4,3,5,12,Loyal Customers
885,2024-12-17 14:55:00,13,363969.22000000003,14,5,5,5,15,Champions
5452,2024-06-13 21:21:00,10,363524.3,201,2,4,5,11,Potential Loyalists
1088,2024-11-27 03:41:00,11,363411.70999999996,34,4,5,5,14,Champions
4205,2024-06-13 22:47:00,10,363246.48,201,2,4,5,11,Potential Loyalists
857,2024-11-13 19:45:00,14,362995.26999999996,48,4,5,5,14,Champions
3295,2024-10-20 01:50:00,13,362846.59,72,4,5,5,14,Champions
2456,2024-10-01 16:32:00,9,362824.19,91,3,4,5,12,Potential Loyalists
5705,2024-11-20 22:39:00,10,362750.96,41,4,4,5,13,Champions
2605,2024-09-26 06:38:00,12,362718.02999999997,96,3,5,5,13,Champions
7105,2024-05-09 21:03:00,7,362258.79,236,1,2,5,8,At Risk
3230,2024-05-13 23:10:00,12,362180.43,232,2,5,5,12,Potential Loyalists
4944,2024-10-07 08:24:00,14,361948.6,85,3,5,5,13,Champions
345,2024-09-18 18:30:00,10,361068.56,104,3,4,5,12,Potential Loyalists
1852,2024-10-25 04:39:00,9,360395.69,67,4,4,5,13,Champions
6105,2024-11-19 14:49:00,8,360175.13,42,4,3,5,12,Loyal Customers
1186,2024-12-08 16:21:00,12,360102.08,23,5,5,5,15,Champions
4136,2024-06-27 07:46:00,9,359902.17,187,2,4,5,11,Potential Loyalists
4359,2024-12-04 00:06:00,11,359671.71,27,5,5,5,15,Champions
3048,2024-12-22 06:02:00,11,359393.02,9,5,5,5,15,Champions
3781,2024-12-08 12:47:00,15,359323.79,23,5,5,5,15,Champions
1070,2024-11-15 16:46:00,15,359131.96,46,4,5,5,14,Champions
7304,2024-12-13 22:36:00,11,358868.32,18,5,5,5,15,Champions
6054,2024-07-29 10:26:00,8,358803.33999999997,155,2,3,5,10,Potential Loyalists
2692,2024-09-23 06:42:00,17,358470.05,99,3,5,5,13,Champions
3778,2024-07-15 12:28:00,8,358337.93,169,2,3,5,10,Potential Loyalists
1554,2024-09-22 08:56:00,12,358271.79,100,3,5,5,13,Champions
3141,2024-12-21 22:02:00,14,357848.14,10,5,5,5,15,Champions
3231,2024-11-05 11:27:00,11,357699.02,56,4,5,5,14,Champions
49,2024-10-20 01:30:00,6,357518.85,72,4,2,5,11,Loyal Customers
28,2024-11-03 10:20:00,11,357308.11,58,4,5,5,14,Champions
1698,2024-10-19 00:30:00,13,356997.99,73,4,5,5,14,Champions
1686,2024-08-11 19:17:00,8,356856.55,142,2,3,5,10,Potential Loyalists
1574,2024-07-17 21:00:00,9,356668.21,167,2,4,5,11,Potential Loyalists
5409,2024-12-03 07:26:00,10,356307.14,28,5,4,5,14,Champions
3326,2024-10-09 23:37:00,11,356167.09,82,3,5,5,13,Champions
1960,2024-10-01 11:51:00,14,355903.77,91,3,5,5,13,Champions
7566,2024-12-29 14:26:00,11,355881.53,2,5,5,5,15,Champions
5696,2024-06-11 01:14:00,13,355267.33999999997,203,2,5,5,12,Potential Loyalists
293,2024-07-28 20:08:00,14,355236.38,156,2,5,5,12,Potential Loyalists
3972,2024-12-25 19:33:00,12,355086.57,6,5,5,5,15,Champions
1489,2024-07-20 20:17:00,8,354954.81,164,2,3,5,10,Potential Loyalists
1518,2024-09-15 07:43:00,10,354886.34,107,3,4,5,12,Potential Loyalists
6007,2024-11-23 00:00:00,10,354274.01,38,4,4,5,13,Champions
1920,2024-10-10 00:38:00,12,354021.51,82,3,5,5,13,Champions
6414,2024-10-20 09:36:00,7,353979.46,72,4,2,5,11,Loyal Customers
32,2024-09-11 03:38:00,9,353969.64,111,3,4,5,12,Potential Loyalists
2787,2024-12-28 20:36:00,10,353135.8,3,5,4,5,14,Champions
937,2024-09-08 09:00:00,6,353010.47000000003,114,3,2,5,10,Potential Loyalists
6997,2024-06-08 05:44:00,7,352886.44,206,2,2,5,9,At Risk
258,2024-11-07 20:19:00,13,352834.49,54,4,5,5,14,Champions
6399,2024-12-21 05:21:00,13,352829.11,10,5,5,5,15,Champions
6715,2024-12-31 22:38:00,11,352773.43,0,5,5,5,15,Champions
2865,2024-07-20 17:28:00,11,352594.60000000003,164,2,5,5,12,Potential Loyalists
246,2024-07-03 10:24:00,16,352520.16,181,2,5,5,12,Potential Loyalists
4201,2024-09-12 12:20:00,14,352428.01,110,3,5,5,13,Champions
2505,2024-11-10 04:46:00,12,352360.57,51,4,5,5,14,Champions
4029,2024-11-18 12:21:00,8,352214.89,43,4,3,5,12,Loyal Customers
7455,2024-11-03 02:02:00,14,352160.29,58,4,5,5,14,Champions
2178,2024-07-12 00:45:00,11,351902.18,172,2,5,5,12,Potential Loyalists
7888,2024-06-08 16:27:00,10,351813.79,206,2,4,5,11,Potential Loyalists
2219,2024-06-30 14:22:00,11,351507.0,184,2,5,5,12,Potential Loyalists
7799,2024-04-18 15:49:00,12,351496.24,257,1,5,5,11,Potential Loyalists
7185,2024-12-24 12:50:00,8,351049.57,7,5,3,5,13,Champions
1595,2024-10-31 09:16:00,15,350773.01,61,4,5,5,14,Champions
5457,2024-11-13 02:55:00,8,350711.14,48,4,3,5,12,Loyal Customers
6330,2024-12-04 17:05:00,14,350643.15,27,5,5,5,15,Champions
4603,2024-02-27 12:51:00,8,350381.47000000003,308,1,3,5,9,At Risk
6021,2024-12-13 16:31:00,13,350327.19,18,5,5,5,15,Champions
1566,2024-06-22 18:30:00,7,350109.89,192,2,2,5,9,At Risk
2383,2024-01-03 19:47:00,7,350089.17000000004,363,1,2,5,8,At Risk
74,2024-10-06 02:12:00,7,349770.58999999997,86,3,2,5,10,Potential Loyalists
3594,2024-08-11 17:53:00,9,349642.52,142,2,4,5,11,Potential Loyalists
6745,2024-11-29 09:42:00,14,349463.17,32,4,5,5,14,Champions
1639,2024-06-24 00:48:00,9,349309.15,190,2,4,5,11,Potential Loyalists
720,2024-07-29 21:27:00,10,349217.22000000003,155,2,4,5,11,Potential Loyalists
6969,2024-11-26 21:17:00,9,349095.7,35,4,4,5,13,Champions
7793,2024-12-01 17:24:00,11,348755.45,30,5,5,5,15,Champions
1510,2024-12-04 23:54:00,13,348641.75,26,5,5,5,15,Champions
1671,2024-12-23 14:10:00,11,348410.14,8,5,5,5,15,Champions
8000,2024-09-22 18:44:00,11,348345.37,100,3,5,5,13,Champions
1459,2024-10-15 13:07:00,8,348151.54,77,3,3,5,11,Potential Loyalists
7589,2024-12-19 15:15:00,11,347799.31,12,5,5,5,15,Champions
3047,2024-03-13 19:40:00,13,347711.46,293,1,5,5,11,Potential Loyalists
5983,2024-11-08 11:46:00,10,347610.2,53,4,4,5,13,Champions
4740,2024-10-16 04:50:00,12,347538.61,76,3,5,5,13,Champions
6184,2024-08-03 18:56:00,8,346788.83,150,2,3,5,10,Potential Loyalists
4491,2024-11-21 05:57:00,14,346745.0,40,4,5,5,14,Champions
4752,2024-12-04 06:16:00,11,346553.57,27,5,5,5,15,Champions
7601,2024-11-06 00:52:00,10,345930.02999999997,55,4,4,5,13,Champions
5255,2024-08-02 01:36:00,12,345776.6,151,2,5,5,12,Potential Loyalists
4050,2024-11-19 09:42:00,9,345377.94,42,4,4,5,13,Champions
1139,2024-08-27 05:18:00,7,345286.06,126,3,2,5,10,Potential Loyalists
6011,2024-10-01 04:30:00,11,345186.67,91,3,5,5,13,Champions
268,2024-11-17 08:18:00,13,344887.13,44,4,5,5,14,Champions
663,2024-10-23 17:31:00,9,344647.52999999997,69,4,4,5,13,Champions
1704,2024-11-01 01:14:00,12,344548.76,60,4,5,5,14,Champions
1327,2024-08-22 00:47:00,11,344466.87,131,3,5,5,13,Champions
3267,2024-09-28 01:19:00,10,344423.77,94,3,4,5,12,Potential Loyalists
1300,2024-09-22 03:52:00,10,344412.37,100,3,4,5,12,Potential Loyalists
2029,2024-05-28 06:44:00,12,344194.68,217,2,5,5,12,Potential Loyalists
2984,2024-12-03 11:03:00,9,343915.36,28,5,4,5,14,Champions
5088,2024-11-20 18:22:00,9,343748.45,41,4,4,5,13,Champions
1320,2024-12-23 05:11:00,11,343261.15,8,5,5,5,15,Champions
6523,2024-04-13 01:56:00,12,343208.94,262,1,5,5,11,Potential Loyalists
5475,2024-05-10 01:33:00,8,343120.13,235,2,3,5,10,Potential Loyalists
6398,2024-10-19 05:08:00,12,342927.43,73,4,5,5,14,Champions
4732,2024-12-29 23:02:00,10,342434.96,2,5,4,5,14,Champions
6557,2024-05-30 16:19:00,11,342408.64,215,2,5,5,12,Potential Loyalists
2218,2024-09-18 02:03:00,14,342288.85,104,3,5,5,13,Champions
2193,2024-06-06 12:03:00,9,341813.43,208,2,4,5,11,Potential Loyalists
6426,2024-04-22 07:23:00,12,341264.26,253,1,5,5,11,Potential Loyalists
6017,2024-06-26 23:16:00,11,341244.23000000004,188,2,5,5,12,Potential Loyalists
3465,2024-10-21 12:42:00,13,340904.1,71,4,5,5,14,Champions
2901,2024-10-06 09:49:00,11,340462.3,86,3,5,5,13,Champions
3252,2024-10-18 00:51:00,12,340113.76,74,4,5,5,14,Champions
4177,2024-11-21 20:00:00,8,340082.36,40,4,3,5,12,Loyal Customers
5478,2024-07-21 16:58:00,12,340036.73,163,2,5,5,12,Potential Loyalists
2647,2024-10-21 14:20:00,10,339863.65,71,4,4,5,13,Champions
1542,2024-12-14 06:48:00,12,339772.43,17,5,5,5,15,Champions
6704,2024-06-25 20:59:00,10,339194.25,189,2,4,5,11,Potential Loyalists
6656,2024-08-25 17:37:00,9,339143.39,128,3,4,5,12,Potential Loyalists
7103,2024-03-27 15:56:00,11,339117.68,279,1,5,5,11,Potential Loyalists
5981,2024-10-31 12:03:00,11,339107.36,61,4,5,5,14,Champions
1632,2024-07-18 13:55:00,12,339077.62,166,2,5,5,12,Potential Loyalists
1272,2024-08-02 06:27:00,13,338860.83,151,2,5,5,12,Potential Loyalists
5306,2024-12-24 01:24:00,9,338746.76,7,5,4,5,14,Champions
3823,2024-10-11 08:27:00,11,338688.07,81,3,5,5,13,Champions
7345,2024-09-13 19:50:00,8,338642.58,109,3,3,5,11,Potential Loyalists
7429,2024-11-29 08:00:00,14,338248.28,32,4,5,5,14,Champions
5528,2024-12-03 16:01:00,10,338040.33,28,5,4,5,14,Champions
4834,2024-10-07 13:09:00,9,337721.21,85,3,4,5,12,Potential Loyalists
1275,2024-12-08 01:10:00,10,337694.63,23,5,4,5,14,Champions
3134,2024-08-30 13:24:00,8,337658.72000000003,123,3,3,5,11,Potential Loyalists
