customer_id,total_revenue,total_orders,total_profit,customer_name,Segment,CLV_realized,expected_lifespan,CLV_projected
28,357308.11,11,69523.03,Cust28,Champions,69523.03,5,347615.15
29,195020.43,8,43911.22,Cust29,Potential Loyalists,43911.22,3,131733.66
30,165812.39,8,28675.76,Cust30,Loyal Customers,28675.76,4,114703.04
31,166083.75,10,25061.55,Cust31,Loyal Customers,25061.55,4,100246.2
32,353969.64,9,65530.34,Cust32,Potential Loyalists,65530.34,3,196591.02
33,181719.68,8,29530.26,Cust33,At Risk,29530.26,2,59060.52
34,100912.87,10,15380.0,Cust34,Loyal Customers,15380.0,4,61520.0
35,5810.48,4,526.16,Cust35,Lost / Churn,526.16,0,0.0
36,285931.57,10,25248.88,Cust36,Champions,25248.88,5,126244.4
37,100018.76,8,13534.28,Cust37,Loyal Customers,13534.28,4,54137.12
38,68784.32,7,14540.97,Cust38,At Risk,14540.97,2,29081.94
39,128134.55,5,13800.74,Cust39,At Risk,13800.74,2,27601.48
40,11480.06,2,3135.66,Cust40,Lost / Churn,3135.66,0,0.0
41,183190.33,7,26665.37,Cust41,At Risk,26665.37,2,53330.74
42,203341.58,11,42768.09,Cust42,Champions,42768.09,5,213840.45
43,177918.79,9,20819.27,Cust43,Potential Loyalists,20819.27,3,62457.81
44,98905.0,4,19010.17,Cust44,At Risk,19010.17,2,38020.34
45,135197.57,7,31124.2,Cust45,Loyal Customers,31124.2,4,124496.8
46,162221.62,9,27752.19,Cust46,Loyal Customers,27752.19,4,111008.76
47,189351.45,8,30789.2,Cust47,At Risk,30789.2,2,61578.4
48,192715.01,8,33169.54,Cust48,Loyal Customers,33169.54,4,132678.16
49,357518.85,6,60435.5,Cust49,Loyal Customers,60435.5,4,241742.0
50,87635.97,7,11996.13,Cust50,Hibernating,11996.13,1,11996.13
51,128456.86,6,19077.38,Cust51,At Risk,19077.38,2,38154.76
52,238295.49,7,43621.87,Cust52,At Risk,43621.87,2,87243.74
53,176560.99,7,21925.11,Cust53,Hibernating,21925.11,1,21925.11
54,131377.79,6,22615.82,Cust54,At Risk,22615.82,2,45231.64
55,253832.58,9,46061.31,Cust55,Champions,46061.31,5,230306.55
56,209810.78,4,28646.38,Cust56,Hibernating,28646.38,1,28646.38
57,292300.43,8,53833.84,Cust57,Potential Loyalists,53833.84,3,161501.52
58,305522.15,12,42866.17,Cust58,Champions,42866.17,5,214330.85
59,269122.92,7,47428.64,Cust59,At Risk,47428.64,2,94857.28
60,74041.48,6,6336.32,Cust60,Hibernating,6336.32,1,6336.32
61,92381.06,5,16867.65,Cust61,Lost / Churn,16867.65,0,0.0
62,63367.31,4,4610.98,Cust62,Lost / Churn,4610.98,0,0.0
63,180418.01,7,31729.15,Cust63,At Risk,31729.15,2,63458.3
64,198219.31,11,35309.96,Cust64,Champions,35309.96,5,176549.8
65,280781.87,8,39365.09,Cust65,At Risk,39365.09,2,78730.18
66,109728.57,11,20231.73,Cust66,Potential Loyalists,20231.73,3,60695.19
67,223663.58,8,33851.43,Cust67,At Risk,33851.43,2,67702.86
68,218869.04,8,41012.5,Cust68,Loyal Customers,41012.5,4,164050.0
69,61917.74,5,9370.61,Cust69,Hibernating,9370.61,1,9370.61
70,76780.6,5,10898.01,Cust70,At Risk,10898.01,2,21796.02
71,185319.47,8,36971.97,Cust71,At Risk,36971.97,2,73943.94
72,249258.9,13,51622.89,Cust72,Potential Loyalists,51622.89,3,154868.67
73,107432.05,5,13679.49,Cust73,Hibernating,13679.49,1,13679.49
74,349770.59,7,64010.79,Cust74,Potential Loyalists,64010.79,3,192032.37
75,160213.69,8,28853.19,Cust75,Loyal Customers,28853.19,4,115412.76
76,332555.33,10,61780.43,Cust76,Potential Loyalists,61780.43,3,185341.29
77,71636.3,4,15966.0,Cust77,Lost / Churn,15966.0,0,0.0
78,169702.69,7,34860.73,Cust78,At Risk,34860.73,2,69721.46
79,249494.36,10,25478.43,Cust79,Potential Loyalists,25478.43,3,76435.29
80,202976.17,10,36335.94,Cust80,Champions,36335.94,5,181679.7
81,111132.37,6,17711.45,Cust81,At Risk,17711.45,2,35422.9
82,98957.71,5,14379.39,Cust82,Hibernating,14379.39,1,14379.39
83,262978.1,7,53219.36,Cust83,Potential Loyalists,53219.36,3,159658.08
84,558088.67,14,91024.75,Cust84,Champions,91024.75,5,455123.75
85,477825.77,11,72822.06,Cust85,Champions,72822.06,5,364110.3
86,81477.68,5,21663.64,Cust86,At Risk,21663.64,2,43327.28
87,255253.43,9,55600.54,Cust87,Potential Loyalists,55600.54,3,166801.62
88,48111.96,6,9576.11,Cust88,Lost / Churn,9576.11,0,0.0
89,193645.77,8,25202.0,Cust89,Potential Loyalists,25202.0,3,75606.0
90,155257.04,6,25642.96,Cust90,Hibernating,25642.96,1,25642.96
91,213681.83,8,43107.74,Cust91,Loyal Customers,43107.74,4,172430.96
92,98245.02,4,23723.89,Cust92,Lost / Churn,23723.89,0,0.0
93,100486.6,6,14446.99,Cust93,Hibernating,14446.99,1,14446.99
94,64101.24,7,10647.71,Cust94,Hibernating,10647.71,1,10647.71
95,99346.88,4,17681.01,Cust95,At Risk,17681.01,2,35362.02
96,107984.99,8,15860.72,Cust96,At Risk,15860.72,2,31721.44
97,79669.74,7,6618.65,Cust97,Lost / Churn,6618.65,0,0.0
98,118991.83,8,18922.98,Cust98,Hibernating,18922.98,1,18922.98
99,234426.46,9,43400.14,Cust99,Loyal Customers,43400.14,4,173600.56
100,141541.41,7,28144.27,Cust100,At Risk,28144.27,2,56288.54
101,178375.58,8,29725.38,Cust101,Loyal Customers,29725.38,4,118901.52
102,138205.04,8,8540.09,Cust102,At Risk,8540.09,2,17080.18
103,84792.71,5,14076.71,Cust103,Hibernating,14076.71,1,14076.71
104,36808.44,6,7824.86,Cust104,At Risk,7824.86,2,15649.72
105,323908.51,10,43825.58,Cust105,Champions,43825.58,5,219127.9
106,41005.83,5,9625.61,Cust106,Lost / Churn,9625.61,0,0.0
107,22020.69,5,3225.72,Cust107,Lost / Churn,3225.72,0,0.0
108,84057.31,8,12097.5,Cust108,At Risk,12097.5,2,24195.0
109,41983.49,5,8567.05,Cust109,Lost / Churn,8567.05,0,0.0
110,147942.6,5,31918.08,Cust110,At Risk,31918.08,2,63836.16
111,244472.11,5,40196.38,Cust111,At Risk,40196.38,2,80392.76
112,166371.44,9,23450.29,Cust112,Potential Loyalists,23450.29,3,70350.87
113,85325.36,6,20598.16,Cust113,Hibernating,20598.16,1,20598.16
114,164936.02,7,20298.91,Cust114,At Risk,20298.91,2,40597.82
115,176882.61,7,36170.38,Cust115,Loyal Customers,36170.38,4,144681.52
116,251881.52,9,47691.16,Cust116,Potential Loyalists,47691.16,3,143073.48
117,78441.82,6,10214.08,Cust117,Lost / Churn,10214.08,0,0.0
118,380960.89,13,58538.73,Cust118,Champions,58538.73,5,292693.65
119,169573.77,14,24373.92,Cust119,Potential Loyalists,24373.92,3,73121.76
120,14335.51,3,2730.66,Cust120,Lost / Churn,2730.66,0,0.0
121,204978.32,3,23767.0,Cust121,Loyal Customers,23767.0,4,95068.0
122,280357.65,8,51846.79,Cust122,Potential Loyalists,51846.79,3,155540.37
123,150002.45,6,26554.33,Cust123,Loyal Customers,26554.33,4,106217.32
124,42842.62,7,9511.8,Cust124,Lost / Churn,9511.8,0,0.0
125,202421.88,8,52005.24,Cust125,Loyal Customers,52005.24,4,208020.96
126,188764.59,8,37828.38,Cust126,At Risk,37828.38,2,75656.76
127,42112.97,5,7885.18,Cust127,Hibernating,7885.18,1,7885.18
128,34448.39,4,6358.89,Cust128,Hibernating,6358.89,1,6358.89
129,66750.53,4,4100.23,Cust129,Hibernating,4100.23,1,4100.23
130,289906.13,5,39174.08,Cust130,At Risk,39174.08,2,78348.16
131,70491.94,4,11140.58,Cust131,Lost / Churn,11140.58,0,0.0
132,139249.23,4,23463.19,Cust132,At Risk,23463.19,2,46926.38
133,82078.85,7,13202.29,Cust133,At Risk,13202.29,2,26404.58
134,141478.24,6,31824.14,Cust134,At Risk,31824.14,2,63648.28
135,296041.24,8,65078.74,Cust135,Champions,65078.74,5,325393.7
136,70594.87,6,14566.23,Cust136,Hibernating,14566.23,1,14566.23
137,203611.09,10,41169.19,Cust137,Potential Loyalists,41169.19,3,123507.57
138,99534.37,7,21781.75,Cust138,Hibernating,21781.75,1,21781.75
139,229158.27,5,34134.87,Cust139,Hibernating,34134.87,1,34134.87
140,468109.23,15,76623.0,Cust140,Potential Loyalists,76623.0,3,229869.0
141,122703.48,6,13929.4,Cust141,At Risk,13929.4,2,27858.8
142,96336.14,5,15414.43,Cust142,Hibernating,15414.43,1,15414.43
143,329634.39,16,57640.01,Cust143,Champions,57640.01,5,288200.05
144,44548.3,6,4683.49,Cust144,At Risk,4683.49,2,9366.98
145,225847.44,8,41959.39,Cust145,At Risk,41959.39,2,83918.78
146,72700.41,8,15232.63,Cust146,At Risk,15232.63,2,30465.26
147,461977.76,14,82384.66,Cust147,Champions,82384.66,5,411923.3
148,326859.42,19,47622.44,Cust148,Champions,47622.44,5,238112.2
149,136512.06,8,16931.89,Cust149,Loyal Customers,16931.89,4,67727.56
150,214085.08,9,29482.22,Cust150,Potential Loyalists,29482.22,3,88446.66
151,165101.12,6,24563.34,Cust151,At Risk,24563.34,2,49126.68
152,60386.74,7,10417.21,Cust152,Hibernating,10417.21,1,10417.21
153,201247.66,7,30795.64,Cust153,At Risk,30795.64,2,61591.28
154,107795.13,5,22253.46,Cust154,At Risk,22253.46,2,44506.92
155,134507.6,8,14802.05,Cust155,Loyal Customers,14802.05,4,59208.2
156,130874.4,8,28862.58,Cust156,Loyal Customers,28862.58,4,115450.32
157,312700.88,13,60072.2,Cust157,Champions,60072.2,5,300361.0
158,90520.45,6,8339.11,Cust158,Hibernating,8339.11,1,8339.11
159,196858.41,7,38959.26,Cust159,At Risk,38959.26,2,77918.52
160,65891.23,3,16593.27,Cust160,Lost / Churn,16593.27,0,0.0
161,173338.1,10,29460.59,Cust161,At Risk,29460.59,2,58921.18
162,231473.48,8,39680.84,Cust162,At Risk,39680.84,2,79361.68
163,189695.06,8,25238.64,Cust163,Loyal Customers,25238.64,4,100954.56
164,266141.15,7,49203.09,Cust164,Loyal Customers,49203.09,4,196812.36
165,495499.58,10,89132.47,Cust165,Champions,89132.47,5,445662.35
166,65566.52,3,11176.92,Cust166,Lost / Churn,11176.92,0,0.0
167,144194.06,6,22127.74,Cust167,At Risk,22127.74,2,44255.48
168,82183.43,7,4779.26,Cust168,Hibernating,4779.26,1,4779.26
169,176026.8,6,41768.65,Cust169,At Risk,41768.65,2,83537.3
170,205166.49,4,40712.46,Cust170,At Risk,40712.46,2,81424.92
171,211481.02,13,42009.79,Cust171,Champions,42009.79,5,210048.95
172,178448.09,4,31047.75,Cust172,Hibernating,31047.75,1,31047.75
173,78424.86,4,5773.27,Cust173,At Risk,5773.27,2,11546.54
174,101036.74,8,19521.45,Cust174,At Risk,19521.45,2,39042.9
175,150131.86,8,29292.07,Cust175,Loyal Customers,29292.07,4,117168.28
176,50375.02,2,8541.52,Cust176,Lost / Churn,8541.52,0,0.0
177,155163.62,6,33701.35,Cust177,At Risk,33701.35,2,67402.7
178,78392.74,6,10812.44,Cust178,Lost / Churn,10812.44,0,0.0
179,409690.2,12,76959.55,Cust179,Champions,76959.55,5,384797.75
180,113161.07,6,13563.21,Cust180,Hibernating,13563.21,1,13563.21
181,145952.12,8,23274.74,Cust181,Loyal Customers,23274.74,4,93098.96
182,166155.59,8,34173.14,Cust182,Loyal Customers,34173.14,4,136692.56
183,56589.72,2,8420.51,Cust183,Hibernating,8420.51,1,8420.51
184,375668.29,11,52735.7,Cust184,Champions,52735.7,5,263678.5
185,183016.07,10,21519.73,Cust185,Loyal Customers,21519.73,4,86078.92
186,260308.05,9,47167.76,Cust186,Potential Loyalists,47167.76,3,141503.28
187,211060.94,9,36093.62,Cust187,Potential Loyalists,36093.62,3,108280.86
188,373830.08,12,86419.78,Cust188,Champions,86419.78,5,432098.9
189,148513.06,8,30077.89,Cust189,Loyal Customers,30077.89,4,120311.56
190,187693.6,7,38039.86,Cust190,Loyal Customers,38039.86,4,152159.44
191,391994.01,10,55759.1,Cust191,Potential Loyalists,55759.1,3,167277.3
192,147277.8,6,18408.23,Cust192,At Risk,18408.23,2,36816.46
193,198623.87,8,26879.28,Cust193,Loyal Customers,26879.28,4,107517.12
194,208497.42,10,41864.1,Cust194,Potential Loyalists,41864.1,3,125592.3
195,92337.36,5,28596.37,Cust195,Hibernating,28596.37,1,28596.37
196,112571.58,8,15544.5,Cust196,Hibernating,15544.5,1,15544.5
197,173145.31,6,27944.48,Cust197,At Risk,27944.48,2,55888.96
198,42552.64,3,7970.53,Cust198,Lost / Churn,7970.53,0,0.0
199,76712.42,5,11092.48,Cust199,Hibernating,11092.48,1,11092.48
200,264742.87,10,38701.93,Cust200,Potential Loyalists,38701.93,3,116105.79
201,137627.13,9,23291.62,Cust201,At Risk,23291.62,2,46583.24
202,141268.79,14,19938.95,Cust202,Loyal Customers,19938.95,4,79755.8
203,88012.07,2,14556.71,Cust203,At Risk,14556.71,2,29113.42
204,59238.14,2,12078.02,Cust204,Lost / Churn,12078.02,0,0.0
205,165156.73,10,19463.68,Cust205,At Risk,19463.68,2,38927.36
206,148695.79,8,14785.37,Cust206,Loyal Customers,14785.37,4,59141.48
207,154467.78,8,27636.24,Cust207,At Risk,27636.24,2,55272.48
208,69996.23,3,16850.12,Cust208,Hibernating,16850.12,1,16850.12
209,277149.71,13,42271.21,Cust209,Champions,42271.21,5,211356.05
210,99744.84,9,18872.56,Cust210,Loyal Customers,18872.56,4,75490.24
211,94006.73,7,9943.4,Cust211,At Risk,9943.4,2,19886.8
212,171711.83,8,10740.46,Cust212,Loyal Customers,10740.46,4,42961.84
213,94655.08,6,18524.02,Cust213,At Risk,18524.02,2,37048.04
214,189248.09,9,34768.19,Cust214,At Risk,34768.19,2,69536.38
215,279218.93,8,59400.77,Cust215,Potential Loyalists,59400.77,3,178202.31
216,327740.58,14,61958.72,Cust216,Champions,61958.72,5,309793.6
217,62933.43,4,15481.92,Cust217,Lost / Churn,15481.92,0,0.0
218,183412.64,6,24646.06,Cust218,Loyal Customers,24646.06,4,98584.24
219,111965.31,8,19504.57,Cust219,Hibernating,19504.57,1,19504.57
220,98549.47,8,17127.56,Cust220,Loyal Customers,17127.56,4,68510.24
221,210590.51,7,33363.67,Cust221,At Risk,33363.67,2,66727.34
222,251397.73,12,56066.76,Cust222,Champions,56066.76,5,280333.8
223,310552.8,8,48082.4,Cust223,Potential Loyalists,48082.4,3,144247.2
224,37064.88,7,2544.31,Cust224,Hibernating,2544.31,1,2544.31
225,299786.37,10,63934.31,Cust225,Potential Loyalists,63934.31,3,191802.93
226,189683.2,12,25411.51,Cust226,Champions,25411.51,5,127057.55
227,129311.21,8,29775.27,Cust227,Hibernating,29775.27,1,29775.27
228,195260.32,3,34888.14,Cust228,Hibernating,34888.14,1,34888.14
229,117297.55,6,21954.69,Cust229,At Risk,21954.69,2,43909.38
230,63733.1,4,13108.73,Cust230,Lost / Churn,13108.73,0,0.0
231,104282.77,6,11985.14,Cust231,Hibernating,11985.14,1,11985.14
232,213645.44,9,32263.47,Cust232,Potential Loyalists,32263.47,3,96790.41
233,42536.68,2,2466.27,Cust233,Hibernating,2466.27,1,2466.27
234,146755.88,10,31705.4,Cust234,Loyal Customers,31705.4,4,126821.6
235,233000.21,7,47916.4,Cust235,Loyal Customers,47916.4,4,191665.6
236,89224.78,8,11421.92,Cust236,Hibernating,11421.92,1,11421.92
237,216730.49,5,43290.37,Cust237,At Risk,43290.37,2,86580.74
238,127214.25,8,12351.46,Cust238,At Risk,12351.46,2,24702.92
239,63162.23,4,10657.45,Cust239,Lost / Churn,10657.45,0,0.0
240,199311.17,5,36939.13,Cust240,At Risk,36939.13,2,73878.26
241,123304.18,10,25201.66,Cust241,At Risk,25201.66,2,50403.32
242,106110.31,4,22455.85,Cust242,Hibernating,22455.85,1,22455.85
243,245883.52,6,40969.31,Cust243,At Risk,40969.31,2,81938.62
244,112065.93,9,17539.36,Cust244,Loyal Customers,17539.36,4,70157.44
245,163947.73,8,31818.32,Cust245,At Risk,31818.32,2,63636.64
246,352520.16,16,57527.25,Cust246,Potential Loyalists,57527.25,3,172581.75
247,178299.45,7,31978.14,Cust247,At Risk,31978.14,2,63956.28
248,164194.08,5,20380.79,Cust248,At Risk,20380.79,2,40761.58
249,282024.68,9,37322.91,Cust249,Potential Loyalists,37322.91,3,111968.73
250,288405.05,15,44306.18,Cust250,Champions,44306.18,5,221530.9
251,134493.89,6,31975.64,Cust251,At Risk,31975.64,2,63951.28
252,214701.04,9,46530.64,Cust252,Potential Loyalists,46530.64,3,139591.92
253,135485.3,12,21041.09,Cust253,Champions,21041.09,5,105205.45
254,113708.95,7,19622.83,Cust254,At Risk,19622.83,2,39245.66
255,86667.69,5,12338.91,Cust255,At Risk,12338.91,2,24677.82
256,119099.62,6,18375.22,Cust256,Hibernating,18375.22,1,18375.22
258,352834.49,13,40902.02,Cust258,Champions,40902.02,5,204510.1
259,233703.68,11,38587.81,Cust259,Champions,38587.81,5,192939.05
260,112438.47,12,14672.42,Cust260,Potential Loyalists,14672.42,3,44017.26
261,84941.91,6,16519.79,Cust261,Lost / Churn,16519.79,0,0.0
262,253149.8,7,44785.98,Cust262,Loyal Customers,44785.98,4,179143.92
263,149154.47,9,28431.18,Cust263,Potential Loyalists,28431.18,3,85293.54
264,125232.74,7,16508.51,Cust264,At Risk,16508.51,2,33017.02
265,85526.19,5,20232.81,Cust265,Lost / Churn,20232.81,0,0.0
266,201147.83,10,22515.28,Cust266,Champions,22515.28,5,112576.4
267,29831.26,4,4687.25,Cust267,Lost / Churn,4687.25,0,0.0
268,344887.13,13,49433.13,Cust268,Champions,49433.13,5,247165.65
269,176530.62,8,12004.85,Cust269,Loyal Customers,12004.85,4,48019.4
270,134336.43,8,25723.75,Cust270,Loyal Customers,25723.75,4,102895.0
271,216931.42,7,47014.14,Cust271,At Risk,47014.14,2,94028.28
272,195834.44,7,35617.46,Cust272,At Risk,35617.46,2,71234.92
273,160299.55,8,34765.51,Cust273,At Risk,34765.51,2,69531.02
274,85283.52,7,16661.38,Cust274,Lost / Churn,16661.38,0,0.0
275,315379.71,8,59254.86,Cust275,At Risk,59254.86,2,118509.72
276,83870.32,4,11573.77,Cust276,Lost / Churn,11573.77,0,0.0
277,54507.02,5,9343.01,Cust277,At Risk,9343.01,2,18686.02
278,328659.97,6,38778.77,Cust278,At Risk,38778.77,2,77557.54
279,103614.86,5,3183.06,Cust279,Lost / Churn,3183.06,0,0.0
280,1401.62,2,155.93,Cust280,Lost / Churn,155.93,0,0.0
281,220072.36,8,45100.91,Cust281,Loyal Customers,45100.91,4,180403.64
282,189035.59,7,31094.24,Cust282,Loyal Customers,31094.24,4,124376.96
283,39516.41,3,5276.5,Cust283,Lost / Churn,5276.5,0,0.0
284,143780.87,8,15455.64,Cust284,Loyal Customers,15455.64,4,61822.56
285,10668.91,2,822.0,Cust285,Lost / Churn,822.0,0,0.0
286,265541.8,9,35837.48,Cust286,Potential Loyalists,35837.48,3,107512.44
287,51046.34,3,10879.4,Cust287,Lost / Churn,10879.4,0,0.0
288,177748.6,8,37590.66,Cust288,Loyal Customers,37590.66,4,150362.64
289,323940.64,10,86333.04,Cust289,Champions,86333.04,5,431665.2
290,146572.73,8,19472.5,Cust290,Loyal Customers,19472.5,4,77890.0
291,177820.3,10,30730.61,Cust291,Loyal Customers,30730.61,4,122922.44
292,396008.0,13,69656.36,Cust292,Champions,69656.36,5,348281.8
293,355236.38,14,85407.95,Cust293,Potential Loyalists,85407.95,3,256223.85
294,133199.31,6,26036.83,Cust294,Hibernating,26036.83,1,26036.83
295,325462.93,9,49731.13,Cust295,Champions,49731.13,5,248655.65
296,120422.38,10,19545.86,Cust296,At Risk,19545.86,2,39091.72
297,10243.95,5,869.14,Cust297,Hibernating,869.14,1,869.14
298,7007.18,5,688.09,Cust298,Lost / Churn,688.09,0,0.0
299,208961.12,6,44981.75,Cust299,At Risk,44981.75,2,89963.5
300,139049.34,5,30440.26,Cust300,Hibernating,30440.26,1,30440.26
301,49751.46,7,10631.6,Cust301,At Risk,10631.6,2,21263.2
302,73686.77,8,10937.76,Cust302,At Risk,10937.76,2,21875.52
303,124449.53,6,18248.5,Cust303,Hibernating,18248.5,1,18248.5
304,319741.21,10,66926.5,Cust304,Potential Loyalists,66926.5,3,200779.5
305,221046.23,8,45477.02,Cust305,Loyal Customers,45477.02,4,181908.08
306,180157.34,6,25040.42,Cust306,Loyal Customers,25040.42,4,100161.68
307,164541.07,9,14725.57,Cust307,Potential Loyalists,14725.57,3,44176.71
308,119631.88,9,10484.8,Cust308,Loyal Customers,10484.8,4,41939.2
309,143509.82,11,26724.52,Cust309,Potential Loyalists,26724.52,3,80173.56
310,66116.32,9,11445.63,Cust310,At Risk,11445.63,2,22891.26
311,114563.53,7,17463.03,Cust311,At Risk,17463.03,2,34926.06
312,262632.76,11,39978.2,Cust312,Champions,39978.2,5,199891.0
313,76269.41,5,16364.14,Cust313,At Risk,16364.14,2,32728.28
314,179237.0,8,37047.28,Cust314,Loyal Customers,37047.28,4,148189.12
315,9661.11,4,1945.2,Cust315,Hibernating,1945.2,1,1945.2
316,318874.59,9,62654.96,Cust316,Potential Loyalists,62654.96,3,187964.88
317,215432.64,5,48688.26,Cust317,At Risk,48688.26,2,97376.52
318,112247.09,7,18167.15,Cust318,At Risk,18167.15,2,36334.3
319,67453.59,7,9306.32,Cust319,At Risk,9306.32,2,18612.64
320,144863.82,7,26352.06,Cust320,Loyal Customers,26352.06,4,105408.24
321,131268.94,8,22494.86,Cust321,Hibernating,22494.86,1,22494.86
322,93243.33,3,27320.91,Cust322,At Risk,27320.91,2,54641.82
323,179487.25,6,19602.13,Cust323,At Risk,19602.13,2,39204.26
324,231758.47,9,42066.46,Cust324,Potential Loyalists,42066.46,3,126199.38
325,139884.26,6,21024.83,Cust325,Loyal Customers,21024.83,4,84099.32
326,56477.42,6,10664.01,Cust326,Hibernating,10664.01,1,10664.01
327,236546.32,7,55024.43,Cust327,At Risk,55024.43,2,110048.86
328,465690.38,14,40766.57,Cust328,Champions,40766.57,5,203832.85
329,146806.47,8,22992.12,Cust329,Loyal Customers,22992.12,4,91968.48
330,61949.71,6,6134.3,Cust330,Hibernating,6134.3,1,6134.3
331,266719.83,8,39457.08,Cust331,Champions,39457.08,5,197285.4
332,299318.48,8,48269.24,Cust332,Potential Loyalists,48269.24,3,144807.72
333,18799.04,4,2323.32,Cust333,Hibernating,2323.32,1,2323.32
335,283002.37,9,56044.2,Cust335,Potential Loyalists,56044.2,3,168132.6
336,314607.4,9,43544.14,Cust336,Potential Loyalists,43544.14,3,130632.42
337,263093.76,5,41591.55,Cust337,At Risk,41591.55,2,83183.1
338,63511.85,5,12732.34,Cust338,At Risk,12732.34,2,25464.68
339,103097.42,6,12851.52,Cust339,Hibernating,12851.52,1,12851.52
340,94082.71,6,5681.43,Cust340,At Risk,5681.43,2,11362.86
341,134872.86,11,21697.53,Cust341,Potential Loyalists,21697.53,3,65092.59
342,209992.43,7,43367.74,Cust342,Loyal Customers,43367.74,4,173470.96
343,122294.39,8,12896.76,Cust343,Loyal Customers,12896.76,4,51587.04
344,152838.46,8,17786.92,Cust344,Loyal Customers,17786.92,4,71147.68
345,361068.56,10,58932.05,Cust345,Potential Loyalists,58932.05,3,176796.15
346,334010.69,14,56566.15,Cust346,Champions,56566.15,5,282830.75
347,90203.67,7,15442.5,Cust347,At Risk,15442.5,2,30885.0
348,224353.48,7,24020.67,Cust348,At Risk,24020.67,2,48041.34
349,141692.84,8,23837.36,Cust349,Loyal Customers,23837.36,4,95349.44
350,120234.87,8,24005.08,Cust350,Hibernating,24005.08,1,24005.08
351,152519.68,7,29562.55,Cust351,At Risk,29562.55,2,59125.1
352,152944.62,7,28156.18,Cust352,At Risk,28156.18,2,56312.36
353,81093.98,7,13965.47,Cust353,Lost / Churn,13965.47,0,0.0
354,173415.06,11,43524.72,Cust354,Potential Loyalists,43524.72,3,130574.16
355,44965.25,2,9969.0,Cust355,Hibernating,9969.0,1,9969.0
356,384593.17,12,65581.75,Cust356,Champions,65581.75,5,327908.75
357,223908.52,9,32223.56,Cust357,At Risk,32223.56,2,64447.12
358,98409.77,6,15558.79,Cust358,Hibernating,15558.79,1,15558.79
359,119870.75,10,16481.21,Cust359,At Risk,16481.21,2,32962.42
360,103685.48,9,17722.25,Cust360,Loyal Customers,17722.25,4,70889.0
361,134298.77,6,24011.09,Cust361,Hibernating,24011.09,1,24011.09
362,107334.12,7,14062.1,Cust362,Hibernating,14062.1,1,14062.1
363,315253.62,7,51945.06,Cust363,At Risk,51945.06,2,103890.12
364,102223.71,9,19581.13,Cust364,Loyal Customers,19581.13,4,78324.52
365,93255.38,5,19678.59,Cust365,At Risk,19678.59,2,39357.18
366,104464.45,4,17013.1,Cust366,At Risk,17013.1,2,34026.2
367,43765.33,3,5210.75,Cust367,Lost / Churn,5210.75,0,0.0
368,77295.01,7,14614.99,Cust368,At Risk,14614.99,2,29229.98
369,92952.12,7,12728.74,Cust369,At Risk,12728.74,2,25457.48
370,178327.36,8,36334.65,Cust370,Loyal Customers,36334.65,4,145338.6
371,249624.32,10,33073.95,Cust371,Champions,33073.95,5,165369.75
372,177991.75,6,18241.82,Cust372,At Risk,18241.82,2,36483.64
373,132501.13,6,25037.36,Cust373,At Risk,25037.36,2,50074.72
374,335262.59,8,65193.61,Cust374,Loyal Customers,65193.61,4,260774.44
375,327653.95,14,51135.04,Cust375,Champions,51135.04,5,255675.2
